Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Лукаш,Августин,Олександрович,Чоловік,11-08-1990,Намотувальник,селище Буськ,"вулиця Восьмого Березня Лінія 5-та, буд. 976 кв. 54, Сіверськ, 93161",+380 (98) 349-85-75,parasiukstanislav@example.net
Єфименко,Ігор,Сергійович,Чоловік,03-05-1951,Клавішник,місто Путивль,"площа Аркадіївський, буд. 04 кв. 385, Турка, 97159",483-45-61,fedir42@example.net
Сіробаба,Юстим,Юхимович,Чоловік,23-08-1962,Секретар,село Дніпрорудне,"узвіз Манежна, буд. 830 кв. 340, Армянськ, 76848",+380 00 873 92 37,bohdanchalenko@example.net
Базилевський,Степан,Валентинович,Чоловік,23-02-1962,Науковець,хутір Амвросіївка,"провулок Виноградна 1-ша, буд. 0, Подільськ, 67371",+380 (24) 944-81-69,leontii12@example.com
Кабаненко,Альберт,Лукʼянович,Чоловік,20-08-1950,Слідчий,село Олешки,"вулиця Лиманчик 2-й Лінія 8-ма, буд. 7, Заліщики, 72475",067 737-32-24,qshukhevych@example.org
Данченко,Симон,Леонідович,Чоловік,05-07-1944,Гірничий інженер,хутір Галич,"узвіз Педагогічна, буд. 219 кв. 1, Дергачі, 97711",+380 77 719 93 64,prokopovychleon@example.com
Бакуменко,Семен,Валерійович,Чоловік,31-01-1976,Реставратор,село Калинівка ,"сквер Азовський, буд. 76 кв. 20, Пустомити, 55519",+380 (54) 599-04-66,avrelii20@example.org
Парасюк,Вадим,Тарасович,Чоловік,24-07-1981,Ґрунтознавець,селище Канів,"парк Сабанський, буд. 754 кв. 18, Мукачево, 17029",020 641-99-25,antonvitruk@example.net
Фастенко,Олесь,Вадимович,Чоловік,10-10-1958,М'ясник,хутір Біляївка,"сквер Яблучна, буд. 90 кв. 219, Кадіївка, 99259",009 199-22-41,hodunokboleslav@example.net
Ісаєнко,Вʼячеслав,Захарович,Чоловік,14-07-1948,Журналіст,місто Чугуїв,"проспект Асташкіна, буд. 438, Новомиргород, 09090",688-51-38,nparasiuk@example.org
Редько,Володимир,Богодарович,Чоловік,20-04-1992,Кінорежисер,місто Добромиль,"узвіз Восьмого березня узвіз, буд. 27, Покров, 95500",283-61-22,okseniiadankevych@example.org
Голобородько,Аарон,Петрович,Чоловік,27-09-1948,Астроном,село Кременчук,"провулок Розумовський 1-й, буд. 879 кв. 33, Світловодськ, 95865",+380 (60) 243-48-61,ishchenkomilena@example.com
Швачко,Григорій,Ярославович,Чоловік,27-11-1991,Краєзнавець,село Бібрка,"узвіз Поштовий, буд. 104, Енергодар, 72669",+380 95 373 78 28,yzhuk@example.net
Вакуленко,Арсен,Ігорович,Чоловік,24-12-1971,Кіноактор,село Надвірна,"шосе Сільська, буд. 319 кв. 48, Кременчук, 01944",+380 (11) 443-28-79,khrystenkoihnat@example.net
Конопля,Леон,Арсенович,Чоловік,20-03-1944,Музичний редактор,село Боярка,"вулиця Моторна, буд. 55, Мена , 89887",+380 61 695 95 78,olenaskoryk@example.org
Корпанюк,Семен,Климентович,Чоловік,26-05-1976,Актор,місто Березівка,"площа Житкова, буд. 05, Умань, 26723",+380 96 597-65-22,solomonsuprunenko@example.net
Акименко,Олександр,Климентович,Чоловік,28-06-1951,Фотограф,селище Олександрівськ,"шосе Василя Симоненка, буд. 46 кв. 03, Кальміуське, 83976",+380 (98) 833-50-57,frants55@example.net
Павличенко,Аарон,Єлисейович,Чоловік,08-01-1975,Шериф,місто Люботин,"площа Нежданової, буд. 0 кв. 990, Першотравенськ, 44530",+380 (22) 577-81-17,pmakarenko@example.net
Затула,Костянтин,Геннадійович,Чоловік,14-09-1995,Фізик,місто Ірпінь,"сквер Квітковий, буд. 201, Кам'янка-Бузька, 45574",+380 54 804 70 50,volodymyra95@example.net
Єресько,Гаврило,Трохимович,Чоловік,20-03-1981,Історик,хутір Роздільна,"вулиця Лінія 37-ма, буд. 245, Дебальцеве, 11782",+380 98 716 62 95,vpetliura@example.com
Чуприна,Давид,Ярославович,Чоловік,10-11-1959,Співак,місто Турка,"парк Тепла, буд. 6, Макіївка, 97842",096 118 15 44,osatsiuk@example.org
Піддубний,Валентин,Олесьович,Чоловік,19-06-1989,Електромонтажник,місто Монастирище,"сквер Волна тупик, буд. 494, Бунге , 61676",+380 (76) 803-30-17,phres@example.com
Корсун,Владислав,Павлович,Чоловік,28-04-1946,Гицель,хутір Мала Виска,"вулиця Привокзальна, буд. 776, Жидачів, 57689",+380 64 132 38 60,davyddubyna@example.com
Баран,Леон,Бориславович,Чоловік,11-07-1971,Живописець,селище Горохів,"вулиця Карантинний узвіз, буд. 92 кв. 87, Новоазовськ, 31482",+380 46 485 72 46,stymchenko@example.com
Чередник,Макар,Альбертович,Чоловік,25-07-1939,Гінеколог,село Моршин,"парк Вапняний 2-й, буд. 899, Овруч, 94557",027 756 72 85,babiichukiakiv@example.org
Колесниченко,Остап,Омелянович,Чоловік,16-08-1960,Провізор,хутір Молодогвардійськ,"сквер Привокзальний, буд. 12 кв. 37, Волочиськ, 20897",028 853 94 80,omeliandavymuka@example.org
Цушко,Зорян,Гордійович,Чоловік,19-02-2007,Провізор,місто Кам'янське,"проспект Софіївська, буд. 00 кв. 7, Святогірськ, 83380",+380 64 859 62 16,herman00@example.com
Хомик,Гліб,Йосипович,Чоловік,11-01-1989,Модель,хутір Жданівка,"вулиця Рачкова, буд. 025, Сквира, 93346",+380 42 667-47-91,saliitaras@example.org
Вергун,Мартин,Трохимович,Чоловік,10-07-1957,Секретар,місто Старобільськ,"провулок Квіткова, буд. 2 кв. 0, Монастирище, 51314",+380 01 939-86-58,olesdutka@example.org
Лагода,Аврелій,Петрович,Чоловік,26-11-1990,Перекладач,село Ялта,"узвіз Махачкалинська, буд. 009 кв. 4, Чоп, 27733",088 321-10-18,atiahnybok@example.net
Колісниченко,Трохим,Яковович,Чоловік,29-07-1990,Кур'єр,хутір Трускавець,"вулиця Кордонний, буд. 103 кв. 4, Макіївка, 62309",+380 23 340-16-60,adamartym@example.net
Ісаєнко,Устим,Геннадійович,Чоловік,17-09-1999,Хореограф,місто Пологи ,"провулок Лесі Українки, буд. 369, Чернігів, 94685",+380 80 721-51-30,stefanhaidenko@example.org
Карпа,Мирослав,Вадимович,Чоловік,08-07-1988,Електротехнік,селище Олександрівськ,"парк Миколи Вороного, буд. 544 кв. 807, Судова Вишня, 60586",052 749-97-81,ilchenkoirena@example.org
Юрчишин,Петро,Юхимович,Чоловік,18-09-1957,Художник,місто Надвірна,"шосе Шептицікого, буд. 6 кв. 36, Козятин, 28790",+380 (97) 674-69-70,kyrylo52@example.net
Валенко,Охрім,Орхипович,Чоловік,02-09-1970,Вчитель,хутір Тячів,"вулиця Савранська, буд. 70 кв. 5, Очаків, 69116",301 67 74,vitaliiverhun@example.com
Даньків,Павло,Олександрович,Чоловік,27-02-1993,Медик,хутір Кодима,"парк Львівська, буд. 26 кв. 8, Вінниця, 55144",+380 07 158-33-60,cnosenko@example.com
Туркало,Симон,Опанасович,Чоловік,31-07-1982,Мінералог,селище Кагарлик,"проспект Хаджибейський 1-й, буд. 15, Вільнянськ, 73528",070 650 70 27,pustovitielysaveta@example.com
Давиденко,Пантелеймон,Олексович,Чоловік,11-06-1941,Юрист,місто Калинівка ,"шосе Мукачівський, буд. 022 кв. 03, Чернівці, 48189",+380 29 554-87-02,czasiadko@example.net
Гречаник,Ярема,Демʼянович,Чоловік,03-02-1944,Фермер,селище Українськ,"шосе Друга, буд. 913, Монастирище, 79862",030 987-40-93,orkhyp10@example.net
Вишняк,Орест,Трохимович,Чоловік,12-06-1955,Секретар,хутір Красногорівка,"площа Аеропортівський 5-й, буд. 8 кв. 06, Середина-Буда, 06988",+380 (63) 969-09-83,valentyna97@example.net
Власюк,Соломон,Лукʼянович,Чоловік,21-11-2005,Стоматолог,місто Покровськ,"парк Маршала Говорова, буд. 72 кв. 960, Ладижин, 90800",+380 44 607 18 31,gzabashta@example.org
Оліфіренко,Василь,Прохорович,Чоловік,15-06-1981,Дантист,хутір Кам'янське,"площа Асташкіна, буд. 7, Житомир, 61545",+380 45 355 53 52,ierchenkoteodor@example.net
Токар,Аркадій,Петрович,Чоловік,10-11-2007,Кінолог,село Хрустальний,"парк Суднобудівний, буд. 4 кв. 553, Бобринець, 68659",050 778-48-90,leon50@example.org
Адаменко,Ростислав,Владиславович,Чоловік,06-02-1997,Кінорежисер,село Білопілля,"проспект Артилерійська, буд. 963 кв. 436, Гірське, 63290",639-99-61,orkhyp17@example.net
Бгиденко,Ростислав,Григорійович,Чоловік,23-02-2004,Паралегал,місто Заводське,"проспект 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 4, Боково-Хрустальне, 64472",054-44-49,hermanmalyk@example.org
Гук,Богуслав,Зиновійович,Чоловік,01-04-1956,Астронавт,селище Соснівка ,"шосе Кривобалківська, буд. 1, Берестечко, 38457",796-77-85,skoryksolomon@example.org
Деряжний,Устим,Леопольдович,Чоловік,13-08-1984,Каскадер,село Полтава,"вулиця Високий, буд. 8, Золотоноша, 20129",126-00-85,iakivbairak@example.net
Гавриш,Ілля,Григорійович,Чоловік,14-01-1987,Доцент,селище Комарно,"парк Сталепрокатна, буд. 095, Токмак, 84107",+380 (41) 370-07-77,haidamakaandrii@example.com
Артимишин,Данило,Михайлович,Чоловік,23-02-1969,Мікробіолог,хутір Скалат,"узвіз Восьмого Березня Лінія 3-тя, буд. 0, Ковель, 35590",+380 24 072-29-34,kybkaloielysaveta@example.net
Іванченко,Хома,Єлисейович,Чоловік,11-04-1999,Золотар,село Білицьке,"провулок Супутників, буд. 97 кв. 8, Мала Виска, 06735",+380 (99) 009-09-49,iushchenkosofiia@example.org
Рудик,Тимофій,Віталійович,Чоловік,12-12-1963,Художник,місто Липовець,"вулиця Новосельского, буд. 72, Южне, 70010",436-47-32,skorykmykhailo@example.org
Симоненко,Варфоломій,Юстимович,Чоловік,09-02-1972,Промисловець,хутір Миколаїв,"узвіз Локальна, буд. 98, Білозерське, 77871",050 264 81 98,giatsenko@example.com
Андрусенко,Максим,Микитович,Чоловік,18-10-1945,Електромонтер,місто Переяслав,"парк Східний 1-й, буд. 11 кв. 74, Верхівцеве, 47490",+380 97 554-61-85,banduraustym@example.com
Гречко,Спас,Васильович,Чоловік,12-12-1996,Журналіст,селище Маріуполь,"проспект Соляний 5-й, буд. 1, Бердичів, 13555",621 95 49,adzyndra@example.net
Корпанюк,Владислав,Петрович,Чоловік,28-04-1997,Краєзнавець,село Фастів,"провулок Воронезька, буд. 94, Радивилів, 40522",002 275 01 37,solomiiaandriievych@example.com
Савенко,Трохим,Опанасович,Чоловік,23-05-2001,Фотограф,хутір Васильків,"набережна Артезіанська, буд. 45 кв. 404, Ічня, 54469",+380 31 893-26-72,tykhyivolodymyr@example.net
Закусило,Прохір,Альбертович,Чоловік,08-02-1977,Фермер,селище Старобільськ,"набережна Цементний, буд. 7 кв. 9, Феодосія, 13694",030 39 23,violetta10@example.net
Гузій,Валерій,Тарасович,Чоловік,30-04-1947,Головний меркшейдер,місто Сокиряни,"сквер Тролейбусна, буд. 86, Бориспіль, 37434",+380 21 803 66 31,iaroslava62@example.org
Андрусенко,Соломон,Леонідович,Чоловік,07-07-1969,Модель,місто Корсунь-Шевченківський,"набережна Леваневського, буд. 8 кв. 33, Кодима, 90343",+380 28 040-39-25,vladyslav88@example.net
Вишняк,Ярослав,Юхимович,Чоловік,09-12-1993,Археолог,місто Дніпрорудне,"шосе Молодіжна, буд. 37, Андрушівка, 32804",+380 99 283-19-23,rudkoustym@example.org
Забіла,Адам,Пилипович,Чоловік,31-05-1951,Промисловець,місто Дебальцеве,"сквер Донцова Дмитра, буд. 421 кв. 572, Бунге , 19944",+380 (11) 014-67-01,okhrimzubko@example.net
Дурдинець,Омелян,Варфоломійович,Чоловік,20-11-1946,Кур'єр,хутір Армянськ,"шосе Скворцова, буд. 91 кв. 8, Монастириська, 81549",+380 (51) 854-23-57,havrylo74@example.com
Макогон,Зорян,Лукʼянович,Чоловік,02-11-1947,Зоолог,селище Покров,"узвіз 1-ша Суворовська, буд. 9 кв. 58, Надвірна, 75979",+380 98 308-61-66,ielyseisachenko@example.net
Бебешко,Хома,Петрович,Чоловік,08-03-1996,Антрополог,село Сновськ,"набережна Толбухіна, буд. 370 кв. 4, Могилів-Подільський, 50136",+380 42 761-42-11,lukashsofiia@example.net
Засядько,Єфрем,Єфремович,Чоловік,16-11-1984,Хімік,місто Липовець,"площа Раїси Сергієнко, буд. 880, Герца, 39101",+380 19 653-36-03,kostiantyn19@example.net
Кириленко,Симон,Єлисейович,Чоловік,31-08-1997,Мікробіолог,місто Селидове,"проспект Ванний, буд. 883, Євпаторія, 89623",+380 (51) 498-83-53,lrudyk@example.org
Андріїшин,Лесь,Тимофійович,Чоловік,04-03-1938,Епідеміолог,село Южноукраїнськ,"провулок Курортний 6-й, буд. 41 кв. 482, Узин, 72504",010 248 51 57,wviter@example.net
Забіла,Борислав,Болеславович,Чоловік,29-11-1978,Співак,хутір Дубровиця,"провулок Орловський, буд. 1 кв. 36, П'ятихатки, 16403",388 34 18,varvaraandriievych@example.net
Андріїшин,Азар,Віталійович,Чоловік,14-01-1945,Різноробочий,село Нова Каховка,"вулиця Чапаєва, буд. 42 кв. 69, Ізюм, 77678",+380 03 505-59-32,vasylechkozakhar@example.com
Артюх,Арсен,Бориславович,Чоловік,28-04-1970,Композитор,хутір Нетішин,"шосе Трудова, буд. 5, Федорівка, 41834",+380 32 346-36-53,kyrylotovstolis@example.net
Прокопович,Теодор,Веніяминович,Чоловік,30-09-1978,Геолог,місто Вижниця,"узвіз Мацієвської узвіз, буд. 071 кв. 6, Зимогір'я, 77541",+380 58 820-67-66,qudovychenko@example.org
Лисенко,Франц,Михайлович,Чоловік,07-07-1974,Акушер,місто Підгородне,"вулиця Книжковий, буд. 351 кв. 72, Буринь, 27801",004 731-13-92,mykyta21@example.com
Девдюк,Ярослав,Пилипович,Чоловік,09-05-1980,Скульптор,селище Дніпрорудне,"провулок Пересипська 3-тя, буд. 8, Острог, 84967",494-33-86,blytvynenko@example.com
Баклан,Геннадій,Романович,Чоловік,08-03-1977,Стоматолог,село Червоносів,"сквер Шишкіна 2-й, буд. 3, Сєвєродонецьк, 65326",268 83 29,varvara74@example.net
Байрак,Демид,Амвросійович,Чоловік,31-10-2003,Зоолог,місто Ходорів,"шосе Горіхова, буд. 20, Дружківка, 30649",245-72-60,lukianhavrylyshyn@example.org
Гузь,Борис,Демʼянович,Чоловік,14-04-1945,Мінералог,село Красноград,"сквер Моторний 2-й, буд. 562, Заставна, 08374",+380 70 580 70 61,lnesterenko@example.com
Тимчук,Теодор,Аркадійович,Чоловік,05-07-2002,Будник,селище Решетилівка,"провулок Ключовий 2-й, буд. 73, Хоростків, 13553",020 607 63 59,fesenkofrants@example.com
Теличенко,Євген,Соломонович,Чоловік,07-10-2005,Детектив,хутір Брянка,"парк Івасюка Володимира, буд. 662, Золотоноша, 59380",+380 79 943-60-76,prytulaihor@example.net
Демʼянюк,Павло,Юхимович,Чоловік,23-08-1951,Продюсер,селище Ізюм,"шосе Кривобалківська, буд. 858 кв. 8, Славутич, 35357",+380 09 760-83-17,pfranchuk@example.com
Рябченко,Ілля,Вікторович,Чоловік,03-02-1995,Графік,хутір Теребовля,"парк Травневий, буд. 15, Бучач, 77363",+380 (87) 241-30-44,veniiamyn17@example.com
Якименко,Варфоломій,Опанасович,Чоловік,18-06-1977,Підприємець,хутір Знам'янка,"провулок Рівності 1-й, буд. 186 кв. 447, Ланівці, 88430",085 741-43-86,davyd53@example.com
Бабиченко,Андрій,Георгійович,Чоловік,14-01-1969,Драматург,хутір Бунге ,"площа Нерубайська, буд. 993 кв. 928, Богуслав, 32410",099 007 49 89,boryslavpalii@example.org
Щириця,Руслан,Миколайович,Чоловік,11-07-2001,Кінорежисер,місто Зборів,"парк Промисловий, буд. 892 кв. 72, Нове Давидково, 15306",805 22 59,vitalii06@example.org
Швачка,Сергій,Костянтинович,Чоловік,11-11-1961,Фольклорист,селище Яремче,"шосе Андрійця Олега, буд. 0 кв. 093, Черкаси, 15536",067 146-39-32,darynaiarema@example.net
Бабариченко,Дмитро,Дмитрович,Чоловік,24-04-1957,Петрограф,село Чорнобиль,"проспект Четверта, буд. 3, Довжанськ, 90882",+380 32 333 61 29,edeineko@example.net
Демʼянюк,Ярема,Зиновійович,Чоловік,30-03-1998,Журналіст,село Тернівка ,"парк Мічуріна, буд. 3, Миргород, 53078",+380 85 713-72-17,zhalilomaryna@example.net
Забарний,Владислав,Захарович,Чоловік,29-12-1939,Доцент,село Бориспіль,"провулок Пересипська 5-та, буд. 3, Угнів, 96379",458-86-37,olesvashchenko@example.com
Чередник,Владислав,Геннадійович,Чоловік,08-09-1959,Намотувальник,селище Білопілля,"вулиця Овідіопольська дорога, буд. 779 кв. 417, Пологи , 53945",006 380 16 93,iarematokar@example.com
Асаула,Опанас,Пантелеймонович,Чоловік,03-10-1965,Клавішник,хутір Сватове,"узвіз Літня, буд. 046 кв. 180, Яготин, 92314",+380 44 115-67-95,xdzhus@example.org
Пушкар,Трохим,Тарасович,Чоловік,21-09-1942,Сантехнік,місто Новояворівськ,"шосе Кавунова, буд. 0 кв. 65, Вижниця, 05745",+380 05 500-98-14,orestfartushniak@example.net
Москаль,Борислав,Арсенович,Чоловік,24-02-1980,Промисловець,хутір Шостка,"сквер Балтська дорога, буд. 44 кв. 329, Тетіїв, 29456",+380 (19) 300-03-06,andriizaruba@example.net
Самойленко,Адам,Богуславович,Чоловік,04-05-1966,Драматург,село Сторожинець,"парк Морська, буд. 5 кв. 637, Мар'їнка, 29051",+380 71 278-64-15,bohdan50@example.org
Худобʼяк,Роман,Олександрович,Чоловік,22-11-1948,Біолог,село Покров,"провулок Дігтярна, буд. 7, Чоп, 57692",+380 40 321-56-69,svitlana11@example.net
Охримович,Адам,Павлович,Чоловік,23-04-1975,Лікар,хутір Буча,"площа Тираспольська, буд. 3, Глиняни, 07262",711-98-88,davyd35@example.net
Конопленко,Леопольд,Яковович,Чоловік,06-06-1957,Паралегал,місто Дружба ,"вулиця Мечникова, буд. 39 кв. 49, Чорнобиль, 57089",+380 69 885-04-53,kamilla91@example.com
Баран,Данило,Павлович,Чоловік,27-12-1943,Економіст,хутір Херсон,"площа Деревообробний 4-й, буд. 53, Запоріжжя, 76531",017 463-41-04,iaroslav34@example.org
Усик,Борис,Богданович,Чоловік,22-11-1998,Програміст,село Вінниця,"проспект Картамишевський, буд. 75, Тячів, 39713",+380 70 817 47 65,amatiash@example.com
Ейбоженко,Гаврило,Ярославович,Чоловік,06-07-2007,Золотар,хутір Нова Каховка,"парк Шилова, буд. 36, Валки , 60226",870 19 21,nestorprykhodko@example.net
Андрієнко,Микита,Данилович,Чоловік,17-12-2003,Патологоанатом,селище Миронівка,"площа Строганов міст, буд. 957, Теплодар, 32273",015 990-67-86,artemenkoadam@example.com
Оліфіренко,Леонтій,Яковович,Чоловік,19-05-1956,Інженер,село Молочанськ,"шосе Маршала Говорова, буд. 7 кв. 126, Молочанськ, 91398",023 588-37-48,mykytaholoborodko@example.com
Макаренко,Демʼян,Георгійович,Чоловік,21-10-1945,Зоолог,село Молодогвардійськ,"шосе Трояндова, буд. 923, Борщів, 25862",+380 31 653 28 48,hennadii09@example.org
Андріїшин,Йосип,Антонович,Чоловік,15-04-1985,Гірник,хутір Подільськ,"проспект Біляївська, буд. 6, Батурин, 73889",+380 05 638 70 93,tymofiisuprunenko@example.net
Гунько,Аркадій,Богуславович,Чоловік,08-03-2008,Публіцист,село Червоноград,"площа Єліна, буд. 697 кв. 67, Білицьке, 08682",917-87-56,nzhaivoron@example.com
Бабенко,Климент,Макарович,Чоловік,24-03-1956,Краєзнавець,місто Луцьк,"шосе Куниці, буд. 754, Лисичанськ, 13494",910 97 50,viterbohodar@example.com
Щорс,Остап,Дмитрович,Чоловік,06-07-1988,Паблік рилейшнз,хутір Ужгород,"узвіз Марата 2-й, буд. 188, Долина , 87287",+380 (57) 525-47-58,iaroslavademianchuk@example.org
Дейсун,Данило,Панасович,Чоловік,05-01-1991,Клавішник,село Кодима,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 5, Селидове, 12284",+380 25 359-19-36,bevzenkobohuslav@example.org
Засядько,Антон,Захарович,Чоловік,04-12-1968,Гірничий інженер,село Горлівка,"вулиця Учнівська, буд. 8 кв. 365, Першотравенськ, 89036",348 44 48,telychenkopanteleimon@example.com
Ковалюк,Опанас,Трохимович,Чоловік,28-01-1986,Антрополог,хутір Глобине,"парк Рибальський, буд. 766 кв. 94, Сквира, 19553",+380 (32) 504-83-28,perepelytsiaarsen@example.com
Абрамчук,Костянтин,Болеславович,Чоловік,22-09-1980,Бухгалтер,хутір Миколаїв,"сквер Соляний 5-й, буд. 192 кв. 273, Красноперекопськ, 85465",+380 29 545 61 93,edyta95@example.com
Давиденко,Роман,Веніяминович,Чоловік,18-01-1953,Ді-джей,селище Чорноморськ,"узвіз Паркова, буд. 6 кв. 235, Звенигородка, 13395",+380 32 416-85-10,tsiupaedyta@example.com
Тригуб,Михайло,Русланович,Чоловік,24-05-1960,Підприємець,селище Буринь,"провулок Привозна, буд. 47, Докучаєвськ, 30352",684 52 00,frants11@example.com
Бакуменко,Прохір,Єфремович,Чоловік,16-12-2007,Гірник,селище Ворожба,"шосе Грецький, буд. 77 кв. 870, Монастириська, 14229",+380 09 041-35-88,kabaliukiryna@example.com
Дрозденко,Максим,Панасович,Чоловік,20-08-1979,Конструктор,селище Кіцмань,"площа Богдана Хмельницького, буд. 183, Пирятин, 11784",050 942-92-05,stanislavzhuk@example.com
Бабко,Зорян,Олегович,Чоловік,19-04-2000,Інженер,селище Бучач,"набережна Кісельова Ігоря, буд. 5 кв. 4, Золочів, 53725",696 79 43,nazarenkoparmen@example.org
Бабʼюк,Юстим,Остапович,Чоловік,15-08-1955,Намотувальник,хутір Сокаль,"набережна Заводська 3-тя, буд. 769 кв. 6, Нововолинськ, 36448",217 36 33,nataliiasyrotenko@example.com
Аврамчук,Гордій,Юхимович,Чоловік,07-06-2003,Хімік,хутір Курахове,"узвіз Недєліна, буд. 620 кв. 42, Калинівка , 38564",084 415-67-47,fshvedchenko@example.com
Радченко,Богуслав,Миронович,Чоловік,13-12-1947,Няня,хутір Тульчин,"парк Геранієва, буд. 794 кв. 210, Могилів-Подільський, 53346",+380 56 735 11 32,danoberemko@example.org
Жарко,Опанас,Вʼячеславович,Чоловік,02-01-1976,Музикознавець,село Христинівка,"узвіз Лесі Українки, буд. 918, Красноград, 93370",767 53 84,rperebyinis@example.org
Засядько,Веніямин,Демʼянович,Чоловік,08-09-1944,Провізор,село Полтава,"узвіз Привозна, буд. 178 кв. 4, Скадовськ, 37058",+380 02 848-57-81,oles86@example.org
Данильчук,Теодор,Азарович,Чоловік,10-02-1953,Ді-джей,селище Бахмут,"парк Нежданової, буд. 145, Петрово-Красносілля, 59465",+380 15 831-82-12,abramchukbohdan@example.org
Шухевич,Демʼян,Мартинович,Чоловік,28-02-1957,Геофізик,село Перемишляни,"парк Миколаївська дорога, буд. 4, Славутич, 85388",+380 22 545-99-85,omelianpavlenko@example.org
Кабаненко,Микита,Валентинович,Чоловік,06-01-2004,Доцент,село Новояворівськ,"площа Пироговський, буд. 188, Єнакієве, 97603",+380 34 867-19-65,miemelianenko@example.com
Лагода,Володимир,Данилович,Чоловік,01-03-1963,Музичний редактор,хутір Лиман ,"проспект Орликова, буд. 225, Дебальцеве, 36057",+380 (52) 982-49-71,gzhuchenko@example.org
Пелех,Остап,Павлович,Чоловік,16-01-1955,Електромонтажник,хутір Щастя ,"набережна Мостовий, буд. 316, Бершадь, 11442",+380 25 630 43 21,dan17@example.net
Салій,Валентин,Омелянович,Чоловік,26-02-1990,Мікробіолог,селище Суходільськ,"вулиця Чорноморський 2-й, буд. 28, Полонне, 88934",026 225 43 76,xfranko@example.net
Штепа,Панас,Омелянович,Чоловік,16-06-1968,Бібліотекар,село Вільнянськ,"провулок Садова 5-та, буд. 6 кв. 823, Боярка, 19750",050 230 83 13,evakarchuk@example.net
Ґерус,Олег,Юхимович,Чоловік,09-12-1941,Кур'єр,хутір Житомир,"провулок Пересипська 10-та, буд. 66, Горлівка, 60687",+380 27 353 13 14,venedykt05@example.org
Дрозд,Семен,Вікторович,Чоловік,18-01-2003,Менеджер,місто Хуст,"сквер Сегедська, буд. 32 кв. 699, Тульчин, 18487",+380 41 404-02-71,rostyslav50@example.com
Вакуленко,Устим,Юстимович,Чоловік,22-03-1966,Фермер,село Тернопіль,"узвіз Садиковська, буд. 47 кв. 76, Лозова , 98458",+380 (95) 669-35-93,iurchyshynkamilla@example.org
Дацюк,Артем,Семенович,Чоловік,22-03-1958,Конструктор,селище Винники,"проспект Василя Симоненка, буд. 08, П'ятихатки, 60305",202 07 36,xvovk@example.org
Чуйко,Семен,Ярославович,Чоловік,31-05-1981,Графік,селище Семенівка,"шосе Колонтаївська, буд. 23 кв. 340, Зимогір'я, 11599",319 34 53,ovcharenkosvitlana@example.net
Пилипенко,Орхип,Григорійович,Чоловік,01-06-1991,Електромонтажник,хутір Енергодар,"парк Гастелло, буд. 7 кв. 0, Енергодар, 48362",+380 76 188 70 22,pelekhsolomon@example.net
Хоменко,Назар,Соломонович,Чоловік,30-08-1940,Медик,хутір Новий Розділ,"шосе Сільськогосподарський, буд. 790 кв. 54, Бережани, 55973",345 80 70,fartushniakdaryna@example.net
Ватаманюк,Аврелій,Охрімович,Чоловік,01-10-1937,Фізик,місто Белз,"вулиця Лучиста, буд. 577 кв. 68, Зугрес, 13080",094 359 54 66,szhadan@example.net
Вишняк,Остап,Болеславович,Чоловік,02-08-1938,Клавішник,село Луцьк,"площа Академіка Глушка, буд. 026 кв. 371, Лисичанськ, 76980",091 971 48 67,datsiukdavyd@example.net
Овчаренко,Володимир,Миколайович,Чоловік,25-05-1961,Палеонтолог,селище Кремінна,"вулиця Мостовий, буд. 70 кв. 03, Мукачево, 53327",+380 (95) 710-26-52,szinchenko@example.com
Авраменко,Алевтин,Григорійович,Чоловік,24-04-2007,Професор,село Кодима,"провулок Політкаторжан, буд. 233 кв. 946, Буринь, 28808",332-76-62,hannaarkhymovych@example.net
Верес,Лукʼян,Болеславович,Чоловік,17-07-1973,Живописець,селище Помічна,"сквер Український 1-й, буд. 445 кв. 885, Прилуки, 74870",084 037 72 34,sviatoslavahupalo@example.net
Деревʼянко,Захар,Русланович,Чоловік,27-12-1999,Електрослюсар,хутір Бар,"узвіз Туристський, буд. 800 кв. 6, Радивилів, 40137",259 49 08,shvachkoleon@example.com
Скорик,Тарас,Альбертович,Чоловік,27-10-2003,Геофізик,село Снігурівка,"провулок Амундсена, 3-й, буд. 3 кв. 06, Канів, 78082",+380 (50) 379-38-44,virapoltavets@example.net
Туркало,Кирило,Азарович,Чоловік,21-10-1954,Дизайнер,місто Гайворон,"проспект Юннатів 1-й, буд. 550, Алчевськ, 71948",+380 51 590-43-66,wbashpolchenko@example.org
Бабенко,Пантелеймон,Соломонович,Чоловік,18-02-1986,Астрофізик,село Сєвєродонецьк,"вулиця 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 40 кв. 54, Суходільськ, 85114",+380 64 500-58-82,andrii63@example.org
Назаренко,Гліб,Леопольдович,Чоловік,08-07-1947,Кінорежисер,село Пологи ,"шосе Дубова, буд. 777 кв. 9, Гнівань, 10592",053 527-29-98,abramchukliza@example.com
Вернидуб,Лесь,Павлович,Чоловік,27-10-1958,Каскадер,село Угнів,"площа Некрасова, буд. 3 кв. 0, Немирів, 78323",+380 (07) 767-18-92,herman09@example.com
